Gulf Location (3),State/TX divided,Bay,Latitude,Longitude,Tidal Zone,Havest or not,Havest Pressure,Height (mm),Length (mm),Width (mm),Volume (mL),Wet Tissue Weight (g),Wet Shell Weight (g),Wet Whole Weight (g),Fan (L/H) ratio,Cup (W/H) ratio,V/H ratio,Weight ratio (tissue/shell)
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,75,55,34,52.4,7.14,97.66,104.8,0.733333333,0.453333333,0.698666667,0.073110793
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,69,49,31,38.6,4.2,71.32,75.52,0.710144928,0.449275362,0.55942029,0.058889512
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,67,49,33,33.2,3.61,63.69,67.3,0.731343284,0.492537313,0.495522388,0.056680798
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,55,52,27,26.8,3.72,50.42,54.14,0.945454545,0.490909091,0.487272727,0.073780246
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,68,49,30,43.8,4.58,73.48,78.06,0.720588235,0.441176471,0.644117647,0.062329886
Northern,TX-Upper,Copano Bay,28.11444444,-97.07,Subtidal,Yes,,67,55,29,38.8,5.63,72.05,77.68,0.820895522,0.432835821,0.579104478,0.07814018
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,127,86,37,134.6,21.42,194.87,216.29,0.677165354,0.291338583,1.05984252,0.109919433
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,101,90,41,125.4,18.12,211.2,229.32,0.891089109,0.405940594,1.241584158,0.085795455
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,102,86,39,111.4,13.79,197.53,211.32,0.843137255,0.382352941,1.092156863,0.06981218
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,105,82,49,146.6,16.18,252.69,268.87,0.780952381,0.466666667,1.396190476,0.064031026
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,88,76,41,106,14.93,178.79,193.72,0.863636364,0.465909091,1.204545455,0.083505789
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,93,79,38,83.4,10.93,152.37,163.3,0.849462366,0.408602151,0.896774194,0.071733281
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,75,67,34,59.4,10.24,112.2,122.44,0.893333333,0.453333333,0.792,0.091265597
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,97,71,44,110.4,14.85,195.52,210.37,0.731958763,0.453608247,1.13814433,0.075951309
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,88,70,41,84.6,14.18,137.39,151.57,0.795454545,0.465909091,0.961363636,0.103209841
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,78,65,28,58.4,6.44,103.9,110.34,0.833333333,0.358974359,0.748717949,0.061982676
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,55,38,18,19.2,2.75,30.16,32.91,0.690909091,0.327272727,,
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,37,36,6,7.8,0.95,7.87,8.82,0.972972973,0.162162162,,
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,33,33,9,5,0.81,7.49,8.3,1,0.272727273,0.151515152,0.108144192
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,31,25,8,4.8,0.54,4.39,4.93,0.806451613,0.258064516,0.15483871,0.123006834
Northern,TX-Upper,Mesquite Bay,28.14111111,-96.82305556,Subtidal,Yes,,30,30,9,3.6,0.86,5.75,6.61,1,0.3,0.12,0.149565217
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,86,67,31,65.4,12.98,114.79,127.77,0.779069767,0.360465116,0.760465116,0.113076052
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,85,68,32,79.8,13.38,127.26,140.64,0.8,0.376470588,0.938823529,0.105139085
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,97,54,32,60,13.56,117.79,131.35,0.556701031,0.329896907,0.618556701,0.115120129
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,87,52,21,53,9.96,90.14,100.1,0.597701149,0.24137931,0.609195402,0.110494786
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,77,52,22,32.2,7.56,48.23,55.79,0.675324675,0.285714286,0.418181818,0.156748911
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,76,51,27,38,6.64,62.41,69.05,0.671052632,0.355263158,0.5,0.106393206
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,67,39,21,26.8,5.6,42.06,47.66,0.582089552,0.313432836,0.4,0.133143129
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,70,51,31,44.8,8.57,69.09,77.66,0.728571429,0.442857143,0.64,0.124041106
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,64,41,20,20,4.03,32.78,36.81,0.640625,0.3125,0.3125,0.122940818
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,65,52,23,30.6,4.39,47.98,52.37,0.8,0.353846154,0.470769231,0.091496457
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,74,41,19,21.2,3.96,37.65,41.61,0.554054054,0.256756757,0.286486486,0.105179283
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,71,43,25,23.6,4.08,36.94,41.02,0.605633803,0.352112676,0.332394366,0.110449377
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,76,47,24,23.8,4.08,39.16,43.24,0.618421053,0.315789474,0.313157895,0.104187947
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,65,47,20,21.4,4.18,35.83,40.01,0.723076923,0.307692308,0.329230769,0.116662015
Western,TX-Lower,Redfish Bay,27.91138889,-97.08944444,Intertidal,No,None,54,39,24,15.8,3.55,26,29.55,0.722222222,0.444444444,0.292592593,0.136538462
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,135,59,27,99,15.59,143.83,159.42,0.437037037,0.2,0.733333333,0.108391851
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,155,46,34,118,18.87,181.16,200.03,0.296774194,0.219354839,0.761290323,0.104162067
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,132,61,36,137,10.12,173.82,183.94,0.462121212,0.272727273,1.037878788,0.058221148
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,131,72,27,116.5,16.16,165.4,181.56,0.549618321,0.20610687,0.889312977,0.097702539
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,140,56,33,117.5,17.68,161.47,179.15,0.4,0.235714286,0.839285714,0.109494024
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,117,52,29,69.4,11.3,110.58,121.88,0.444444444,0.247863248,0.593162393,0.102188461
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,107,45,28,66.6,8.79,105.63,114.42,0.420560748,0.261682243,0.622429907,0.083214996
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,125,51,26,71.2,9.1,119.64,128.74,0.408,0.208,0.5696,0.076061518
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,117,66,31,100,14.34,154.92,169.26,0.564102564,0.264957265,0.854700855,0.092563904
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,82,67,34,72.8,7.05,99.58,106.63,0.817073171,0.414634146,0.887804878,0.070797349
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,107,45,19,43.8,7.48,73.66,81.14,0.420560748,0.177570093,0.409345794,0.101547651
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,95,59,15,43.2,9.32,58.41,67.73,0.621052632,0.157894737,0.454736842,0.159561719
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,111,60,38,94.8,16.77,130.17,146.94,0.540540541,0.342342342,0.854054054,0.128831528
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,105,55,26,61.4,9.97,99.5,109.47,0.523809524,0.247619048,0.584761905,0.100201005
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,94,56,30,72.2,12.02,100.33,112.35,0.595744681,0.319148936,0.768085106,0.119804645
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,89,49,23,41.4,5.99,63.21,69.2,0.550561798,0.258426966,0.465168539,0.094763487
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,62,66,26,70.4,7.42,59.86,67.28,1.064516129,0.419354839,1.135483871,0.123955897
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,93,49,25,69.6,8.19,71.44,79.63,0.52688172,0.268817204,0.748387097,0.114641657
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,88,49,34,54.6,9.61,80.4,90.01,0.556818182,0.386363636,0.620454545,0.119527363
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,90,39,33,36,5.32,58.6,63.92,0.433333333,0.366666667,0.4,0.090784983
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,75,55,24,34.4,7.23,52.67,59.9,0.733333333,0.32,0.458666667,0.137269793
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,76,42,20,29.2,4.28,46.58,50.86,0.552631579,0.263157895,0.384210526,0.091884929
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,55,29,13,10.2,1.91,16.33,18.24,0.527272727,0.236363636,0.185454545,0.116962645
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,29,48,12,6.8,1.42,8.31,9.73,1.655172414,0.413793103,0.234482759,0.17087846
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,47,25,10,3.4,1.31,6.42,7.73,0.531914894,0.212765957,0.072340426,0.204049844
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,69,36,10,13.8,1.61,20.82,22.43,0.52173913,0.144927536,0.2,0.077329491
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,57,33,12,,0.82,,,0.578947368,0.210526316,,
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,65,65,13,,3.26,,,1,0.2,,
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,37,32,10,,1,,,0.864864865,0.27027027,,
Western,TX-Lower,Upper Laguna Madre,27.63083,-97.24018,Intertidal,No,None,59,41,,,2.66,,,0.694915254,,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,88,39,,,7.074,,,0.443181818,,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,82,54,32,,8.91,,,0.658536585,0.390243902,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,91,48,35,,8.27,,,0.527472527,0.384615385,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,103,57,29,,12.12,,,0.553398058,0.281553398,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,92,46,24,,9.84,,,0.5,0.260869565,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,63,53,21,,7.53,,,0.841269841,0.333333333,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,82,53,22,,6.85,,,0.646341463,0.268292683,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,49,39,12,,1.53,,,0.795918367,0.244897959,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,74,40,,,4.79,,,0.540540541,,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,56,38,,,2.07,,,0.678571429,,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,91,47,28,39.6,9.49,57.05,66.54,0.516483516,0.307692308,0.435164835,0.166345311
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,93,50,18,34.8,9,52.56,61.56,0.537634409,0.193548387,0.374193548,0.171232877
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,86,44,20,32.4,7.22,40.53,47.75,0.511627907,0.23255814,0.376744186,0.17813965
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,95,54,32,65.2,14.84,94.05,108.89,0.568421053,0.336842105,0.686315789,0.15778841
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,97,50,20,42.2,8.03,61.43,69.46,0.515463918,0.206185567,0.435051546,0.13071789
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,71,59,38,47.8,8.74,57.84,66.58,0.830985915,0.535211268,0.673239437,0.151106501
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,96,41,26,50,9.64,73.38,83.02,0.427083333,0.270833333,0.520833333,0.131370946
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,77,60,30,47.2,10.5,59.16,69.66,0.779220779,0.38961039,0.612987013,0.177484787
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,101,53,22,48.6,11.79,70.94,82.73,0.524752475,0.217821782,0.481188119,0.166196786
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,80,54,20,36.6,8.78,49.22,58,0.675,0.25,0.4575,0.178382771
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,89,45,25,53,13.29,72.81,86.1,0.505617978,0.280898876,0.595505618,0.182529872
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,85,55,25,46.8,10.12,67.55,77.67,0.647058824,0.294117647,0.550588235,0.149814952
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,77,49,26,33.8,8.73,46.46,55.19,0.636363636,0.337662338,0.438961039,0.187903573
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,98,44,24,47.4,11.06,67.55,78.61,0.448979592,0.244897959,0.483673469,0.16373057
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,77,53,21,29.2,6.61,39.46,46.07,0.688311688,0.272727273,0.379220779,0.167511404
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,102,46,38,75,12.02,105.88,117.9,0.450980392,0.37254902,0.735294118,0.113524745
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,74,61,25,,12.07,,,0.824324324,0.337837838,,
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,50,45,22,32.6,8.67,45.39,54.06,0.9,0.44,0.652,0.191011236
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,97,51,23,44,10.71,58.85,69.56,0.525773196,0.237113402,0.453608247,0.181988105
Western,TX-Lower,Port Mansfield,26.55944444,-97.36305556,Intertidal,No,None,69,54,23,34.8,7.37,48.27,55.64,0.782608696,0.333333333,0.504347826,0.152682826
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,79,48,18,27,5.12,41.26,46.38,0.607594937,0.227848101,0.341772152,0.124091129
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,71,50,23,28.6,6.29,36.03,42.32,0.704225352,0.323943662,0.402816901,0.174576742
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,74,53,18,29.4,5.34,48.95,54.29,0.716216216,0.243243243,0.397297297,0.109090909
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,85,58,20,35.6,6.66,51.42,58.08,0.682352941,0.235294118,0.418823529,0.129521587
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,82,50,22,30.6,5.7,45.5,51.2,0.609756098,0.268292683,0.373170732,0.125274725
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,79,56,25,39.2,7.56,46.77,54.33,0.708860759,0.316455696,0.496202532,0.161642078
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,68,52,26,30.8,4.71,49.99,54.7,0.764705882,0.382352941,0.452941176,0.094218844
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,74,43,19,23.4,4.28,33.97,38.25,0.581081081,0.256756757,0.316216216,0.125993524
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,70,44,27,27.2,7.08,37.99,45.07,0.628571429,0.385714286,0.388571429,0.186364833
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,66,54,16,18.6,4.24,25.73,29.97,0.818181818,0.242424242,0.281818182,0.164788185
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,63,48,19,21.4,5.36,33.42,38.78,0.761904762,0.301587302,0.33968254,0.160383004
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,64,49,15,18.2,2.47,24.68,27.15,0.765625,0.234375,0.284375,0.100081037
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,69,43,24,26.4,5.91,35.01,40.92,0.623188406,0.347826087,0.382608696,0.168808912
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,67,44,23,27.2,5,37.2,42.2,0.656716418,0.343283582,0.405970149,0.134408602
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,68,48,26,20.8,4.33,26.2,30.53,0.705882353,0.382352941,0.305882353,0.165267176
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,58,45,18,19.4,3.5,29.28,32.78,0.775862069,0.310344828,0.334482759,0.119535519
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,70,46,24,20.8,3.74,30.48,34.22,0.657142857,0.342857143,0.297142857,0.122703412
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,56,51,24,26.8,6.89,40.97,47.86,0.910714286,0.428571429,0.478571429,0.168171833
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,62,44,13,12.8,2.53,18.66,21.19,0.709677419,0.209677419,0.206451613,0.135584137
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,70,38,20,24.4,4.62,34.75,39.37,0.542857143,0.285714286,0.348571429,0.13294964
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,65,46,30,24.4,4.59,32.09,36.68,0.707692308,0.461538462,0.375384615,0.143035213
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,64,31,15,17.2,5.68,22.83,28.51,0.484375,0.234375,0.26875,0.248795445
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,62,40,26,21.4,3.95,28.47,32.42,0.64516129,0.419354839,0.34516129,0.138742536
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,63,43,21,26,3.96,44.27,48.23,0.682539683,0.333333333,0.412698413,0.089451096
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,57,48,18,17,3.04,28.44,31.48,0.842105263,0.315789474,0.298245614,0.106891702
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,57,39,17,12.4,2.34,19.22,21.56,0.684210526,0.298245614,0.21754386,0.121748179
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,54,38,18,14.8,1.98,19.64,21.62,0.703703704,0.333333333,0.274074074,0.100814664
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,58,43,16,13.4,2.98,19.33,22.31,0.74137931,0.275862069,0.231034483,0.154164511
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,56,35,12,9.4,2.23,15.96,18.19,0.625,0.214285714,0.167857143,0.139724311
Western,TX-Lower,Corpus Christi Bay,27.85166667,-97.35611111,Intertidal,No,None,52,42,17,12,2.3,19.23,21.53,0.807692308,0.326923077,0.230769231,0.119604784
